Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
18/01/2020 06:00;PT;159;{'nuclear': 121, 'geothermal': 0, 'biomass': 364, 'coal': 15, 'wind': 2463, 'solar': 0, 'hydro': 691, 'gas': 1268, 'oil': 2, 'unknown': 31, 'hydro discharge': 0, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 368, 'coal': None, 'wind': 2487, 'solar': None, 'hydro': 679, 'gas': 1246, 'oil': None, 'unknown': 30, 'hydro discharge': -207, 'battery discharge': None};{'ES': 351};{'ES': 0};73;71;4954;4810;351;0
18/01/2020 12:00;PT;172;{'nuclear': None, 'geothermal': None, 'biomass': 362, 'coal': None, 'wind': 2954, 'solar': 220, 'hydro': 1079, 'gas': 1965, 'oil': None, 'unknown': 28, 'hydro discharge': 44, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 371, 'coal': None, 'wind': 3024, 'solar': 225, 'hydro': 1105, 'gas': 2012, 'oil': None, 'unknown': 29, 'hydro discharge': 45, 'battery discharge': None};{'ES': 0};{'ES': 158};70;70;6653;6811;0;158
18/01/2020 18:00;PT;137;{'nuclear': None, 'geothermal': None, 'biomass': 261, 'coal': None, 'wind': 2815, 'solar': None, 'hydro': 1919, 'gas': 1394, 'oil': None, 'unknown': 21, 'hydro discharge': 743, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 373, 'coal': None, 'wind': 4029, 'solar': None, 'hydro': 2746, 'gas': 1995, 'oil': None, 'unknown': 30, 'hydro discharge': 1063, 'battery discharge': None};{'ES': 0};{'ES': 3084};80;80;7152;10236;0;3084
19/01/2020 00:00;PT;67;{'nuclear': None, 'geothermal': None, 'biomass': 356, 'coal': None, 'wind': 3333, 'solar': None, 'hydro': 1208, 'gas': 386, 'oil': None, 'unknown': 30, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 380, 'coal': None, 'wind': 3556, 'solar': None, 'hydro': 1289, 'gas': 412, 'oil': None, 'unknown': 32, 'hydro discharge': -6, 'battery discharge': None};{'ES': 0};{'ES': 350};92;92;5313;5669;0;350
19/01/2020 06:00;PT;86;{'nuclear': 240, 'geothermal': None, 'biomass': 299, 'coal': 31, 'wind': 2694, 'solar': 0, 'hydro': 773, 'gas': 455, 'oil': 4, 'unknown': 27, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 382, 'coal': None, 'wind': 3088, 'solar': None, 'hydro': 938, 'gas': 429, 'oil': None, 'unknown': 30, 'hydro discharge': -1775, 'battery discharge': None};{'ES': 1431};{'ES': 0};89;83;4523;4867;1431;0
19/01/2020 12:00;PT;70;{'nuclear': 34, 'geothermal': None, 'biomass': 368, 'coal': 4, 'wind': 3127, 'solar': 512, 'hydro': 1493, 'gas': 434, 'oil': 1, 'unknown': 32, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 381, 'coal': None, 'wind': 3198, 'solar': 520, 'hydro': 1539, 'gas': 432, 'oil': None, 'unknown': 33, 'hydro discharge': -269, 'battery discharge': None};{'ES': 171};{'ES': 0};92;92;6005;6103;171;0
19/01/2020 18:00;PT;62;{'nuclear': None, 'geothermal': None, 'biomass': 339, 'coal': None, 'wind': 3597, 'solar': None, 'hydro': 2141, 'gas': 378, 'oil': None, 'unknown': 29, 'hydro discharge': 229, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 383, 'coal': None, 'wind': 4069, 'solar': None, 'hydro': 2422, 'gas': 428, 'oil': None, 'unknown': 33, 'hydro discharge': 259, 'battery discharge': None};{'ES': 0};{'ES': 880};94;94;6714;7594;0;880
20/01/2020 00:00;PT;74;{'nuclear': 191, 'geothermal': None, 'biomass': 290, 'coal': 24, 'wind': 3428, 'solar': 0, 'hydro': 840, 'gas': 449, 'oil': 3, 'unknown': 29, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 352, 'coal': None, 'wind': 3936, 'solar': None, 'hydro': 994, 'gas': 444, 'oil': None, 'unknown': 33, 'hydro discharge': -1584, 'battery discharge': None};{'ES': 1080};{'ES': 0};90;87;5255;5759;1080;0
20/01/2020 06:00;PT;110;{'nuclear': None, 'geothermal': None, 'biomass': 276, 'coal': None, 'wind': 3077, 'solar': None, 'hydro': 1022, 'gas': 906, 'oil': None, 'unknown': 26, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 351, 'coal': None, 'wind': 3913, 'solar': None, 'hydro': 1300, 'gas': 1152, 'oil': None, 'unknown': 33, 'hydro discharge': -254, 'battery discharge': None};{'ES': 0};{'ES': 1188};82;82;5307;6749;0;1188
20/01/2020 12:00;PT;151;{'nuclear': None, 'geothermal': None, 'biomass': 262, 'coal': None, 'wind': 2859, 'solar': 389, 'hydro': 1824, 'gas': 1828, 'oil': None, 'unknown': 26, 'hydro discharge': 372, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 348, 'coal': None, 'wind': 3802, 'solar': 517, 'hydro': 2425, 'gas': 2431, 'oil': None, 'unknown': 34, 'hydro discharge': 494, 'battery discharge': None};{'ES': 0};{'ES': 2492};75;75;7559;10051;0;2492
