;date;totale production;total consumption;diff conso / prod (%);carbon production (kg);new carbon production (kg)
;06/04/2020 12:00;269753;260507;3.427580045448985;44154801;28948363
;06/04/2020 18:00;258813;260582;-0.6835050789566212;58070769;42921951
;07/04/2020 00:00;217959;205581;5.679049729536289;46741136;32190375
;07/04/2020 06:00;250210;253188;-1.1902002318052836;57294881;41963827
;07/04/2020 12:00;266157;255681;3.936022723430156;48826601;33236060
;07/04/2020 18:00;254050;256230;-0.8580987994489274;59539301;43961698
;08/04/2020 00:00;212827;200449;5.815991392069615;42851041;29151668
;08/04/2020 06:00;245825;247856;-0.8261974982202787;56018409;40916284
;08/04/2020 12:00;261625;250904;4.097849976110846;49062176;33638201
;08/04/2020 18:00;250661;252450;-0.7137129429787641;63571482;47849425
;09/04/2020 00:00;206840;198802;3.8860955327789597;46358268;33437327
;09/04/2020 06:00;238359;241821;-1.4524309969415883;55500166;40778369
